Time,End,lat,lon,Phase C-A Avg Volts
25-10-2022 11:00:00,25-10-2022 11:00:00,10.71553,-85.62812,120.20
25-10-2022 11:00:00,25-10-2022 11:00:00,09.95461,-85.03797,118.08
25-10-2022 11:00:00,25-10-2022 11:00:00,09.99357,-85.28716,120.18
25-10-2022 12:00:00,25-10-2022 12:00:00,9.848634400644745,-84.31491096137044,118.20
25-10-2022 12:00:00,25-10-2022 12:00:00,10.71553,-85.62812,119.26
25-10-2022 12:00:00,25-10-2022 12:00:00,09.95461,-85.03797,117.00
25-10-2022 12:00:00,25-10-2022 12:00:00,09.99357,-85.28716,121.40
25-10-2022 13:00:00,25-10-2022 13:00:00,9.848634400644745,-84.31491096137044,116.78
25-10-2022 13:00:00,25-10-2022 13:00:00,10.71553,-85.62812,119.46
25-10-2022 13:00:00,25-10-2022 13:00:00,09.95461,-85.03797,118.10
25-10-2022 13:00:00,25-10-2022 13:00:00,09.99357,-85.28716,121.86
25-10-2022 14:00:00,25-10-2022 14:00:00,9.848634400644745,-84.31491096137044,118.30
25-10-2022 14:00:00,25-10-2022 14:00:00,10.71553,-85.62812,119.90
25-10-2022 14:00:00,25-10-2022 14:00:00,09.95461,-85.03797,117.10
25-10-2022 14:00:00,25-10-2022 14:00:00,09.99357,-85.28716,123.20
25-10-2022 15:00:00,25-10-2022 15:00:00,9.848634400644745,-84.31491096137044,119.22
25-10-2022 15:00:00,25-10-2022 15:00:00,10.71553,-85.62812,120.24
25-10-2022 15:00:00,25-10-2022 15:00:00,09.95461,-85.03797,118.14
25-10-2022 15:00:00,25-10-2022 15:00:00,09.99357,-85.28716,122.40
25-10-2022 16:00:00,25-10-2022 16:00:00,9.848634400644745,-84.31491096137044,119.08
25-10-2022 16:00:00,25-10-2022 16:00:00,10.71553,-85.62812,120.26
25-10-2022 16:00:00,25-10-2022 16:00:00,09.95461,-85.03797,118.62
25-10-2022 16:00:00,25-10-2022 16:00:00,09.99357,-85.28716,122.84
25-10-2022 17:00:00,25-10-2022 17:00:00,9.848634400644745,-84.31491096137044,118.26
25-10-2022 17:00:00,25-10-2022 17:00:00,10.71553,-85.62812,120.58
25-10-2022 17:00:00,25-10-2022 17:00:00,09.95461,-85.03797,118.34
25-10-2022 17:00:00,25-10-2022 17:00:00,09.99357,-85.28716,123.32
25-10-2022 18:00:00,25-10-2022 18:00:00,9.848634400644745,-84.31491096137044,117.22
25-10-2022 18:00:00,25-10-2022 18:00:00,10.71553,-85.62812,119.76
25-10-2022 18:00:00,25-10-2022 18:00:00,09.95461,-85.03797,117.80
25-10-2022 18:00:00,25-10-2022 18:00:00,09.99357,-85.28716,122.14
25-10-2022 19:00:00,25-10-2022 19:00:00,9.848634400644745,-84.31491096137044,117.20
25-10-2022 19:00:00,25-10-2022 19:00:00,10.71553,-85.62812,120.00
25-10-2022 19:00:00,25-10-2022 19:00:00,09.95461,-85.03797,117.86
25-10-2022 19:00:00,25-10-2022 19:00:00,09.99357,-85.28716,122.98
25-10-2022 20:00:00,25-10-2022 20:00:00,9.848634400644745,-84.31491096137044,118.60
25-10-2022 20:00:00,25-10-2022 20:00:00,10.71553,-85.62812,120.10
25-10-2022 20:00:00,25-10-2022 20:00:00,09.95461,-85.03797,118.48
25-10-2022 20:00:00,25-10-2022 20:00:00,09.99357,-85.28716,122.94
25-10-2022 21:00:00,25-10-2022 21:00:00,9.848634400644745,-84.31491096137044,118.92
25-10-2022 21:00:00,25-10-2022 21:00:00,10.71553,-85.62812,120.56
25-10-2022 21:00:00,25-10-2022 21:00:00,09.95461,-85.03797,119.28
25-10-2022 21:00:00,25-10-2022 21:00:00,09.99357,-85.28716,123.44
25-10-2022 22:00:00,25-10-2022 22:00:00,9.848634400644745,-84.31491096137044,119.48
25-10-2022 22:00:00,25-10-2022 22:00:00,10.71553,-85.62812,120.72
25-10-2022 22:00:00,25-10-2022 22:00:00,09.95461,-85.03797,120.00
25-10-2022 22:00:00,25-10-2022 22:00:00,09.99357,-85.28716,124.40
25-10-2022 23:00:00,25-10-2022 23:00:00,9.848634400644745,-84.31491096137044,119.36
25-10-2022 23:00:00,25-10-2022 23:00:00,10.71553,-85.62812,120.26
25-10-2022 23:00:00,25-10-2022 23:00:00,09.95461,-85.03797,119.42
25-10-2022 23:00:00,25-10-2022 23:00:00,09.99357,-85.28716,124.04
26-10-2022 00:00:00,26-10-2022 00:00:00,9.848634400644745,-84.31491096137044,119.42
26-10-2022 00:00:00,26-10-2022 00:00:00,10.71553,-85.62812,120.82
26-10-2022 00:00:00,26-10-2022 00:00:00,09.95461,-85.03797,119.20
26-10-2022 00:00:00,26-10-2022 00:00:00,09.99357,-85.28716,124.86
26-10-2022 01:00:00,26-10-2022 01:00:00,9.848634400644745,-84.31491096137044,119.72
26-10-2022 01:00:00,26-10-2022 01:00:00,10.71553,-85.62812,121.10
26-10-2022 01:00:00,26-10-2022 01:00:00,09.95461,-85.03797,119.74
26-10-2022 01:00:00,26-10-2022 01:00:00,09.99357,-85.28716,124.46
26-10-2022 02:00:00,26-10-2022 02:00:00,9.848634400644745,-84.31491096137044,120.46
26-10-2022 02:00:00,26-10-2022 02:00:00,10.71553,-85.62812,121.36
26-10-2022 02:00:00,26-10-2022 02:00:00,09.95461,-85.03797,119.74
26-10-2022 02:00:00,26-10-2022 02:00:00,09.99357,-85.28716,124.94
26-10-2022 03:00:00,26-10-2022 03:00:00,9.848634400644745,-84.31491096137044,120.18
26-10-2022 03:00:00,26-10-2022 03:00:00,10.71553,-85.62812,121.38
26-10-2022 03:00:00,26-10-2022 03:00:00,09.95461,-85.03797,120.24
26-10-2022 03:00:00,26-10-2022 03:00:00,09.99357,-85.28716,124.50
26-10-2022 04:00:00,26-10-2022 04:00:00,9.848634400644745,-84.31491096137044,119.98
26-10-2022 04:00:00,26-10-2022 04:00:00,10.71553,-85.62812,121.14
26-10-2022 04:00:00,26-10-2022 04:00:00,09.95461,-85.03797,120.06
26-10-2022 04:00:00,26-10-2022 04:00:00,09.99357,-85.28716,124.36
26-10-2022 05:00:00,26-10-2022 05:00:00,9.848634400644745,-84.31491096137044,119.84
26-10-2022 05:00:00,26-10-2022 05:00:00,10.71553,-85.62812,120.22
26-10-2022 05:00:00,26-10-2022 05:00:00,09.95461,-85.03797,118.82
26-10-2022 05:00:00,26-10-2022 05:00:00,09.99357,-85.28716,124.20
26-10-2022 06:00:00,26-10-2022 06:00:00,9.848634400644745,-84.31491096137044,116.12
26-10-2022 06:00:00,26-10-2022 06:00:00,10.71553,-85.62812,120.40
26-10-2022 06:00:00,26-10-2022 06:00:00,09.95461,-85.03797,118.42
26-10-2022 06:00:00,26-10-2022 06:00:00,09.99357,-85.28716,121.08
